TimeStamp;Live_Power;EVSE_Current_power;shaper_max_power;Charging_Current;Current_Capacity;FirmWare
17/12/2023 15:02:41;7503.09000000000;7113.97280000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:42;7503.09000000000;7114.28507000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:43;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:44;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:45;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:46;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:47;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:48;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:49;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:50;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:51;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:52;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:53;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:54;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:55;7503.09000000000;7114.28520000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:56;7508.72000000000;7116.47210000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:57;7508.72000000000;7116.47210000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:58;7508.72000000000;7116.47200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:02:59;7508.72000000000;7116.47200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:00;7508.72000000000;7116.47200000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:01;7506.44000000000;7111.78581000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:02;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:03;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:04;7506.44000000000;7161.86900000000;8400;31.4600000000000;32;V5.0.2
17/12/2023 15:03:05;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:06;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:07;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:08;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:09;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:10;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:11;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:12;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:13;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:14;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:15;7506.44000000000;7111.78600000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:16;7518.90000000000;7102.10148000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:17;7518.90000000000;7102.10160000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:18;7518.90000000000;7102.10160000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:19;7518.90000000000;7152.11640000000;8400;31.4600000000000;32;V5.0.2
17/12/2023 15:03:20;7518.90000000000;7152.11640000000;8400;31.4600000000000;32;V5.0.2
17/12/2023 15:03:21;7518.90000000000;7102.10160000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:22;7518.90000000000;7102.10160000000;8400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:23;7518.90000000000;7102.10160000000;6400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:24;7518.90000000000;7102.10160000000;6400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:25;7518.90000000000;7102.10160000000;6400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:26;7518.90000000000;7102.10160000000;6400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:27;7518.90000000000;7102.10160000000;6400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:28;7518.90000000000;7102.10160000000;6400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:29;7518.90000000000;7102.10160000000;6400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:30;7518.90000000000;7102.10160000000;6400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:31;7519.55000000000;7106.47507000000;6400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:32;7519.55000000000;7106.47520000000;6400;31.2400000000000;32;V5.0.2
17/12/2023 15:03:33;7519.55000000000;7106.47520000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:34;7519.55000000000;7106.47520000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:35;7519.55000000000;7106.47520000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:36;7519.55000000000;7106.47520000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:37;7519.55000000000;7106.47520000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:38;7519.55000000000;7106.47520000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:39;7519.55000000000;7106.47520000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:40;7519.55000000000;7156.52080000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:03:41;7519.55000000000;7156.52080000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:03:42;7519.55000000000;7106.47520000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:43;7519.55000000000;7106.47520000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:44;7519.55000000000;7106.47520000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:45;7519.55000000000;7106.47520000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:46;7527.15000000000;7110.53642000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:47;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:48;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:49;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:50;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:51;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:52;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:53;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:54;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:55;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:56;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:57;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:58;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:03:59;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:00;7527.15000000000;7110.53640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:01;7517.60000000000;7110.22419000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:02;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:03;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:04;7517.60000000000;7160.29600000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:05;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:06;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:07;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:08;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:09;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:10;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:11;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:12;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:13;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
