"Date-time string","solar:solar ()"
2020-03-16T14:52:00+00:00,263
2020-03-16T14:53:00+00:00,292
2020-03-16T14:54:00+00:00,563
2020-03-16T14:55:00+00:00,554
2020-03-16T14:56:00+00:00,485
2020-03-16T14:57:00+00:00,398
2020-03-16T14:58:00+00:00,461
2020-03-16T14:59:00+00:00,702
2020-03-16T15:00:00+00:00,755
2020-03-16T15:01:00+00:00,849
2020-03-16T15:02:00+00:00,970
2020-03-16T15:03:00+00:00,661
2020-03-16T15:04:00+00:00,872
2020-03-16T15:05:00+00:00,585
2020-03-16T15:06:00+00:00,671
2020-03-16T15:07:00+00:00,662
2020-03-16T15:08:00+00:00,609
2020-03-16T15:09:00+00:00,498
2020-03-16T15:10:00+00:00,735
2020-03-16T15:11:00+00:00,556
2020-03-16T15:12:00+00:00,504
2020-03-16T15:13:00+00:00,452
2020-03-16T15:14:00+00:00,526
2020-03-16T15:15:00+00:00,525
2020-03-16T15:16:00+00:00,494
2020-03-16T15:17:00+00:00,468
2020-03-16T15:18:00+00:00,622
2020-03-16T15:19:00+00:00,635
2020-03-16T15:20:00+00:00,469
2020-03-16T15:21:00+00:00,488
2020-03-16T15:22:00+00:00,495
2020-03-16T15:23:00+00:00,519
2020-03-16T15:24:00+00:00,464
2020-03-16T15:25:00+00:00,509
2020-03-16T15:26:00+00:00,461
2020-03-16T15:27:00+00:00,352
2020-03-16T15:28:00+00:00,349
2020-03-16T15:29:00+00:00,404
2020-03-16T15:30:00+00:00,530
2020-03-16T15:31:00+00:00,417
2020-03-16T15:32:00+00:00,424
2020-03-16T15:33:00+00:00,438
2020-03-16T15:34:00+00:00,457
2020-03-16T15:35:00+00:00,399
2020-03-16T15:36:00+00:00,378
2020-03-16T15:37:00+00:00,355
2020-03-16T15:38:00+00:00,494
2020-03-16T15:39:00+00:00,506
2020-03-16T15:40:00+00:00,377
2020-03-16T15:41:00+00:00,392
2020-03-16T15:42:00+00:00,410
2020-03-16T15:43:00+00:00,300
2020-03-16T15:44:00+00:00,248
2020-03-16T15:45:00+00:00,270
2020-03-16T15:46:00+00:00,287
2020-03-16T15:47:00+00:00,248
2020-03-16T15:48:00+00:00,235
2020-03-16T15:49:00+00:00,248
2020-03-16T15:50:00+00:00,266
2020-03-16T15:51:00+00:00,334
2020-03-16T15:52:00+00:00,289
2020-03-16T15:53:00+00:00,257
2020-03-16T15:54:00+00:00,280
2020-03-16T15:55:00+00:00,231
2020-03-16T15:56:00+00:00,205
2020-03-16T15:57:00+00:00,227
2020-03-16T15:58:00+00:00,195
2020-03-16T15:59:00+00:00,168
2020-03-16T16:00:00+00:00,157
2020-03-16T16:01:00+00:00,143
2020-03-16T16:02:00+00:00,137
2020-03-16T16:03:00+00:00,133
2020-03-16T16:04:00+00:00,160
2020-03-16T16:05:00+00:00,166
2020-03-16T16:06:00+00:00,161
2020-03-16T16:07:00+00:00,183
2020-03-16T16:08:00+00:00,218
2020-03-16T16:09:00+00:00,212
2020-03-16T16:10:00+00:00,
2020-03-16T16:11:00+00:00,265
2020-03-16T16:12:00+00:00,270
2020-03-16T16:13:00+00:00,263
2020-03-16T16:14:00+00:00,284
2020-03-16T16:15:00+00:00,287
2020-03-16T16:16:00+00:00,299
2020-03-16T16:17:00+00:00,272
2020-03-16T16:18:00+00:00,275
2020-03-16T16:19:00+00:00,272
2020-03-16T16:20:00+00:00,277
2020-03-16T16:21:00+00:00,275
2020-03-16T16:22:00+00:00,281
2020-03-16T16:23:00+00:00,287
2020-03-16T16:24:00+00:00,293
2020-03-16T16:25:00+00:00,291
2020-03-16T16:26:00+00:00,310
2020-03-16T16:27:00+00:00,286
2020-03-16T16:28:00+00:00,293
2020-03-16T16:29:00+00:00,280
2020-03-16T16:30:00+00:00,279
2020-03-16T16:31:00+00:00,258
2020-03-16T16:32:00+00:00,243
2020-03-16T16:33:00+00:00,210
2020-03-16T16:34:00+00:00,192
2020-03-16T16:35:00+00:00,168
2020-03-16T16:36:00+00:00,157
2020-03-16T16:37:00+00:00,133
2020-03-16T16:38:00+00:00,138
2020-03-16T16:39:00+00:00,138
2020-03-16T16:40:00+00:00,157
2020-03-16T16:41:00+00:00,142
2020-03-16T16:42:00+00:00,137
2020-03-16T16:43:00+00:00,125
2020-03-16T16:44:00+00:00,114
2020-03-16T16:45:00+00:00,110
2020-03-16T16:46:00+00:00,113
2020-03-16T16:47:00+00:00,123
2020-03-16T16:48:00+00:00,119
2020-03-16T16:49:00+00:00,131
2020-03-16T16:50:00+00:00,127
2020-03-16T16:51:00+00:00,117
2020-03-16T16:52:00+00:00,110
2020-03-16T16:53:00+00:00,96
2020-03-16T16:54:00+00:00,100
2020-03-16T16:55:00+00:00,92
2020-03-16T16:56:00+00:00,92
2020-03-16T16:57:00+00:00,93
2020-03-16T16:58:00+00:00,104
2020-03-16T16:59:00+00:00,98
2020-03-16T17:00:00+00:00,116
2020-03-16T17:01:00+00:00,94
2020-03-16T17:02:00+00:00,103
2020-03-16T17:03:00+00:00,106
2020-03-16T17:04:00+00:00,124
2020-03-16T17:05:00+00:00,127
2020-03-16T17:06:00+00:00,146
2020-03-16T17:07:00+00:00,149
2020-03-16T17:08:00+00:00,162
2020-03-16T17:09:00+00:00,179
2020-03-16T17:10:00+00:00,165
2020-03-16T17:11:00+00:00,161
2020-03-16T17:12:00+00:00,149
2020-03-16T17:13:00+00:00,146
2020-03-16T17:14:00+00:00,143
2020-03-16T17:15:00+00:00,143
2020-03-16T17:16:00+00:00,126
2020-03-16T17:17:00+00:00,129
2020-03-16T17:18:00+00:00,115
2020-03-16T17:19:00+00:00,105
2020-03-16T17:20:00+00:00,102
2020-03-16T17:21:00+00:00,103
2020-03-16T17:22:00+00:00,76
2020-03-16T17:23:00+00:00,86
2020-03-16T17:24:00+00:00,82
2020-03-16T17:25:00+00:00,75
2020-03-16T17:26:00+00:00,79
2020-03-16T17:27:00+00:00,69
2020-03-16T17:28:00+00:00,63
2020-03-16T17:29:00+00:00,61
2020-03-16T17:30:00+00:00,59
2020-03-16T17:31:00+00:00,41
2020-03-16T17:32:00+00:00,40
2020-03-16T17:33:00+00:00,33
2020-03-16T17:34:00+00:00,28
2020-03-16T17:35:00+00:00,29
2020-03-16T17:36:00+00:00,29
2020-03-16T17:37:00+00:00,28
2020-03-16T17:38:00+00:00,19
2020-03-16T17:39:00+00:00,19
2020-03-16T17:40:00+00:00,21
2020-03-16T17:41:00+00:00,21
2020-03-16T17:42:00+00:00,
2020-03-16T17:43:00+00:00,26
2020-03-16T17:44:00+00:00,15
2020-03-16T17:45:00+00:00,15
2020-03-16T17:46:00+00:00,14
2020-03-16T17:47:00+00:00,8
2020-03-16T17:48:00+00:00,2
2020-03-16T17:49:00+00:00,-13
2020-03-16T17:50:00+00:00,1
2020-03-16T17:51:00+00:00,2
2020-03-16T17:52:00+00:00,1
2020-03-16T17:53:00+00:00,2
2020-03-16T17:54:00+00:00,0
2020-03-16T17:55:00+00:00,0
