Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available,Live Power,Smoother Live Power,Shapper Max Power
17/12/2023 13:29:10,0,0,0,0,1440,254,0,8311,8311,5000
17/12/2023 13:29:11,0,0,0,0,1440,254,0,8311,8311,5000
17/12/2023 13:29:12,0,0,0,0,1440,254,0,8311,8311,5000
17/12/2023 13:29:13,0,0,0,0,1440,254,0,8311,8311,5000
17/12/2023 13:29:14,0,0,0,0,1440,254,0,8311,8311,5000
17/12/2023 13:29:15,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:16,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:17,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:18,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:19,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:20,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:21,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:22,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:23,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:24,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:25,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:26,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:27,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:28,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:29,0,0,0,0,1440,254,0,8510,8510,5000
17/12/2023 13:29:30,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:31,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:32,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:33,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:34,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:35,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:36,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:37,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:38,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:39,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:40,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:41,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:42,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:43,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:44,0,0,0,0,1440,254,0,8498,8498,5000
17/12/2023 13:29:45,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:46,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:47,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:48,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:49,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:50,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:51,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:52,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:53,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:54,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:55,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:56,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:57,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:58,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:29:59,0,0,0,0,1440,254,0,8501,8501,5000
17/12/2023 13:30:00,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:01,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:02,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:03,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:04,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:05,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:06,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:07,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:08,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:09,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:10,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:11,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:12,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:13,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:14,0,0,0,0,1440,254,0,8513,8513,5000
17/12/2023 13:30:15,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:16,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:17,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:18,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:19,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:20,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:21,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:22,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:23,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:24,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:25,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:26,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:27,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:28,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:29,0,0,0,0,1440,254,0,8517,8517,5000
17/12/2023 13:30:30,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:31,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:32,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:33,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:34,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:35,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:36,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:37,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:38,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:39,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:40,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:41,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:42,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:43,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:44,0,0,0,0,1440,254,0,8524,8524,5000
17/12/2023 13:30:45,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:46,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:47,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:48,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:49,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:50,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:51,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:52,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:53,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:54,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:55,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:56,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:57,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:58,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:30:59,0,0,0,0,1440,254,0,8528,8528,5000
17/12/2023 13:31:00,0,0,0,0,1440,254,0,8739,8739,5000
17/12/2023 13:31:01,0,0,0,0,1440,254,0,8739,8739,5000
17/12/2023 13:31:02,0,0,0,0,1440,254,0,8739,8739,5000
17/12/2023 13:31:03,0,0,0,0,1440,254,0,8668,8668,5000
17/12/2023 13:31:04,0,0,0,0,1440,254,0,8668,8668,5000
17/12/2023 13:31:05,0,0,0,0,1440,254,0,8668,8668,5000
17/12/2023 13:31:06,0,0,0,0,1440,254,0,8839,8839,5000
17/12/2023 13:31:07,0,0,0,0,1440,254,0,8839,8839,5000
17/12/2023 13:31:08,0,0,0,0,1440,254,0,8839,8839,5000
17/12/2023 13:31:09,0,0,0,0,1440,254,0,8839,8839,5000
17/12/2023 13:31:10,0,0,0,0,1440,254,0,8839,8839,5000
